subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,arrival_time
0,random,29,310,"{'cx': 528, 'u2': 276, 'u1': 167, 'cu1': 154, 'h': 133, 'u3': 88, 'ry': 81, 'rx': 52, 'ccx': 33, 'cu3': 31, 's': 29, 'measure': 29, 'rzz': 28, 'tdg': 26, 'sx': 26, 'rz': 26, 't': 26, 'crz': 24, 'cy': 23, 'ch': 23, 'cp': 20, 'x': 20, 'cry': 19, 'crx': 19, 'swap': 16, 'cswap': 16, 'rxx': 16, 'p': 12, 'cz': 12, 'sdg': 9, 'sxdg': 8, 'z': 7, 'y': 7, 'u': 3, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,2866,"{'cx': 7032, 'rz': 3483, 'sx': 1711, 'x': 139, 'measure': 29, 'barrier': 1}",12.017863686629957
0,twolocalrandom,2,8,"{'ry': 8, 'cx': 3, 'measure': 2, 'barrier': 1}",7,14,"{'rz': 9, 'sx': 8, 'cx': 3, 'measure': 2, 'barrier': 1}",16,14,"{'rz': 9, 'sx': 8, 'cx': 3, 'measure': 2, 'barrier': 1}",27,14,"{'rz': 9, 'sx': 8, 'cx': 3, 'measure': 2, 'barrier': 1}",127,15,"{'rz': 10, 'sx': 8, 'cx': 3, 'measure': 2, 'barrier': 1}",13.045843770855708
0,qpeinexact,22,65,"{'cp': 231, 'h': 42, 'measure': 21, 'swap': 10, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,839,"{'cx': 1273, 'rz': 907, 'sx': 249, 'x': 33, 'measure': 21, 'barrier': 1}",127,787,"{'cx': 1289, 'rz': 982, 'sx': 285, 'x': 43, 'measure': 21, 'barrier': 1}",13.51932666257044
0,qnn,43,425,"{'cx': 3654, 'p': 1806, 'u2': 86, 'ry': 86, 'measure': 43, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1281,"{'cx': 7210, 'rz': 6311, 'sx': 3420, 'x': 173, 'measure': 43, 'barrier': 1}",19.80791579644311
0,su2random,40,162,"{'cx': 2340, 'u3': 160, 'measure': 40, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1424,"{'cx': 6924, 'rz': 2788, 'sx': 1732, 'x': 175, 'measure': 40, 'barrier': 1}",22.00754554283815
0,qftentangled,18,39,"{'cp': 153, 'h': 19, 'measure': 18, 'cx': 17, 'swap': 9, 'barrier': 1}",-1,-1,{},-1,-1,{},27,386,"{'cx': 848, 'rz': 488, 'sx': 43, 'measure': 18, 'x': 3, 'barrier': 1}",127,418,"{'cx': 795, 'rz': 627, 'sx': 191, 'x': 29, 'measure': 18, 'barrier': 1}",22.170422989303564
0,dj,28,30,"{'h': 28, 'u2': 27, 'cx': 27, 'measure': 27, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,111,"{'rz': 103, 'cx': 76, 'sx': 59, 'measure': 27, 'x': 6, 'barrier': 1}",23.397909853479156
0,ae,3,12,"{'cx': 4, 'u': 3, 'measure': 3, 'u2': 2, 'u3': 2, 'h': 2, 'cp': 1, 'barrier': 1}",7,23,"{'rz': 17, 'sx': 9, 'cx': 7, 'measure': 3, 'x': 1, 'barrier': 1}",16,34,"{'rz': 19, 'sx': 14, 'cx': 9, 'measure': 3, 'barrier': 1}",27,24,"{'rz': 18, 'sx': 9, 'cx': 7, 'measure': 3, 'x': 1, 'barrier': 1}",127,24,"{'rz': 18, 'sx': 9, 'cx': 7, 'measure': 3, 'x': 1, 'barrier': 1}",24.767295277527552
0,random,14,106,"{'cx': 96, 'u2': 45, 'cu1': 30, 'h': 29, 'u3': 26, 'u1': 24, 'ry': 23, 'measure': 14, 'cry': 12, 's': 12, 'ccx': 10, 'cu3': 9, 'tdg': 8, 'swap': 7, 'crx': 7, 'ch': 7, 'sx': 6, 't': 6, 'rz': 6, 'rx': 5, 'cswap': 5, 'x': 4, 'cy': 4, 'crz': 4, 'p': 3, 'sdg': 2, 'cz': 2, 'cp': 2, 'z': 2, 'rxx': 2, 'sxdg': 2, 'u': 2, 'rzz': 2, 'y': 1, 'barrier': 1}",-1,-1,{},16,653,"{'cx': 884, 'rz': 781, 'sx': 401, 'x': 45, 'measure': 14, 'barrier': 1}",27,650,"{'cx': 927, 'rz': 758, 'sx': 387, 'x': 42, 'measure': 14, 'barrier': 1}",127,694,"{'cx': 914, 'rz': 773, 'sx': 391, 'x': 39, 'measure': 14, 'barrier': 1}",24.78601313930285
0,su2random,23,94,"{'cx': 759, 'u3': 92, 'measure': 23, 'barrier': 1}",-1,-1,{},-1,-1,{},27,846,"{'cx': 2444, 'rz': 846, 'sx': 607, 'x': 40, 'measure': 23, 'barrier': 1}",127,551,"{'cx': 1875, 'rz': 793, 'sx': 575, 'x': 42, 'measure': 23, 'barrier': 1}",25.020574977863173
0,qft,37,75,"{'cp': 666, 'h': 37, 'measure': 37, 'swap': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1106,"{'cx': 2944, 'rz': 2156, 'sx': 657, 'x': 99, 'measure': 37, 'barrier': 1}",25.190045342267798
0,qpeexact,12,33,"{'cp': 65, 'h': 22, 'measure': 11, 'swap': 5, 'x': 1, 'barrier': 1}",-1,-1,{},16,326,"{'cx': 330, 'rz': 289, 'sx': 91, 'x': 14, 'measure': 11, 'barrier': 1}",27,330,"{'cx': 313, 'rz': 265, 'sx': 74, 'x': 11, 'measure': 11, 'barrier': 1}",127,330,"{'cx': 313, 'rz': 262, 'sx': 74, 'x': 11, 'measure': 11, 'barrier': 1}",25.269753606428033
0,qpeinexact,9,26,"{'cp': 36, 'h': 16, 'measure': 8, 'swap': 4, 'x': 1, 'barrier': 1}",-1,-1,{},16,185,"{'cx': 178, 'rz': 117, 'sx': 16, 'measure': 8, 'x': 1, 'barrier': 1}",27,217,"{'cx': 165, 'rz': 156, 'sx': 49, 'x': 9, 'measure': 8, 'barrier': 1}",127,218,"{'cx': 163, 'rz': 161, 'sx': 52, 'x': 8, 'measure': 8, 'barrier': 1}",27.568355275688017
0,qpeexact,15,44,"{'cp': 105, 'h': 28, 'measure': 14, 'swap': 7, 'x': 1, 'barrier': 1}",-1,-1,{},16,420,"{'cx': 565, 'rz': 417, 'sx': 105, 'measure': 14, 'x': 12, 'barrier': 1}",27,422,"{'cx': 560, 'rz': 430, 'sx': 114, 'x': 15, 'measure': 14, 'barrier': 1}",127,463,"{'cx': 555, 'rz': 392, 'sx': 102, 'measure': 14, 'x': 13, 'barrier': 1}",28.644211571892285
0,qnn,29,285,"{'cx': 1652, 'p': 812, 'u2': 58, 'ry': 58, 'measure': 29, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,961,"{'cx': 3340, 'rz': 2512, 'sx': 1149, 'x': 149, 'measure': 29, 'barrier': 1}",28.831169599755153
0,ae,6,30,"{'cx': 10, 'cp': 10, 'u': 6, 'measure': 6, 'u2': 5, 'u3': 5, 'h': 5, 'barrier': 1}",7,115,"{'rz': 66, 'cx': 55, 'sx': 32, 'measure': 6, 'x': 2, 'barrier': 1}",16,101,"{'rz': 67, 'cx': 51, 'sx': 30, 'measure': 6, 'x': 2, 'barrier': 1}",27,110,"{'rz': 70, 'cx': 49, 'sx': 36, 'measure': 6, 'x': 1, 'barrier': 1}",127,107,"{'rz': 67, 'cx': 49, 'sx': 32, 'measure': 6, 'x': 2, 'barrier': 1}",29.480567167421835
0,qpeexact,42,125,"{'cp': 861, 'h': 82, 'measure': 41, 'swap': 20, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1590,"{'cx': 4318, 'rz': 3115, 'sx': 1054, 'x': 100, 'measure': 41, 'barrier': 1}",29.547299313771674
0,qftentangled,17,37,"{'cp': 136, 'h': 18, 'measure': 17, 'cx': 16, 'swap': 8, 'barrier': 1}",-1,-1,{},-1,-1,{},27,406,"{'cx': 674, 'rz': 568, 'sx': 200, 'x': 27, 'measure': 17, 'barrier': 1}",127,326,"{'cx': 741, 'rz': 470, 'sx': 66, 'measure': 17, 'x': 12, 'barrier': 1}",30.727859192000516
0,qpeexact,22,63,"{'cp': 230, 'h': 42, 'measure': 21, 'swap': 10, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,832,"{'cx': 1244, 'rz': 966, 'sx': 311, 'x': 38, 'measure': 21, 'barrier': 1}",127,817,"{'cx': 1310, 'rz': 880, 'sx': 224, 'x': 32, 'measure': 21, 'barrier': 1}",31.46444597617765
0,random,9,53,"{'cx': 34, 'u3': 19, 'u2': 18, 'h': 11, 'measure': 9, 'ry': 7, 'cu1': 7, 'cu3': 6, 'u1': 6, 'crz': 5, 'tdg': 4, 't': 4, 'p': 4, 's': 3, 'rx': 3, 'ccx': 3, 'sx': 2, 'crx': 2, 'x': 2, 'sxdg': 2, 'rzz': 2, 'swap': 2, 'ch': 2, 'sdg': 1, 'cz': 1, 'rxx': 1, 'u': 1, 'cry': 1, 'cy': 1, 'barrier': 1}",-1,-1,{},16,273,"{'cx': 261, 'rz': 258, 'sx': 133, 'x': 13, 'measure': 9, 'barrier': 1}",27,279,"{'rz': 280, 'cx': 250, 'sx': 153, 'x': 11, 'measure': 9, 'barrier': 1}",127,287,"{'cx': 265, 'rz': 243, 'sx': 119, 'x': 13, 'measure': 9, 'barrier': 1}",33.0656236726763
0,dj,26,28,"{'h': 26, 'u2': 25, 'cx': 25, 'measure': 25, 'barrier': 1}",-1,-1,{},-1,-1,{},27,110,"{'rz': 102, 'cx': 72, 'sx': 55, 'measure': 25, 'x': 4, 'barrier': 1}",127,110,"{'rz': 95, 'cx': 76, 'sx': 53, 'measure': 25, 'x': 3, 'barrier': 1}",33.30964029062013
0,twolocalrandom,20,82,"{'cx': 570, 'ry': 80, 'measure': 20, 'barrier': 1}",-1,-1,{},-1,-1,{},27,425,"{'cx': 1458, 'rz': 423, 'sx': 312, 'x': 29, 'measure': 20, 'barrier': 1}",127,473,"{'cx': 1464, 'rz': 551, 'sx': 400, 'x': 32, 'measure': 20, 'barrier': 1}",33.896113729656896
0,ae,48,282,"{'cp': 1081, 'cx': 94, 'u': 48, 'measure': 48, 'u2': 47, 'u3': 47, 'h': 47, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1760,"{'cx': 4619, 'rz': 4496, 'sx': 1797, 'x': 125, 'measure': 48, 'barrier': 1}",35.429774357346425
0,twolocalrandom,12,50,"{'cx': 198, 'ry': 48, 'measure': 12, 'barrier': 1}",-1,-1,{},16,370,"{'cx': 624, 'rz': 201, 'sx': 167, 'measure': 12, 'x': 3, 'barrier': 1}",27,380,"{'cx': 540, 'rz': 412, 'sx': 291, 'x': 21, 'measure': 12, 'barrier': 1}",127,361,"{'cx': 587, 'rz': 253, 'sx': 205, 'measure': 12, 'x': 9, 'barrier': 1}",35.59008773755412
0,random,41,471,"{'cx': 1030, 'u2': 490, 'cu1': 340, 'h': 284, 'u1': 278, 'u3': 203, 'ry': 162, 'rx': 82, 'ccx': 76, 'cu3': 75, 'rzz': 66, 't': 59, 'tdg': 58, 'rz': 50, 's': 49, 'sx': 45, 'ch': 44, 'crz': 43, 'cry': 42, 'measure': 41, 'crx': 35, 'cswap': 34, 'p': 33, 'cz': 33, 'x': 31, 'rxx': 31, 'swap': 30, 'cp': 28, 'cy': 27, 'z': 17, 'sxdg': 14, 'u': 13, 'y': 13, 'sdg': 13, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,5924,"{'cx': 17431, 'rz': 7082, 'sx': 3357, 'x': 319, 'measure': 41, 'barrier': 1}",36.36160973453303
0,qft,26,53,"{'cp': 325, 'h': 26, 'measure': 26, 'swap': 13, 'barrier': 1}",-1,-1,{},-1,-1,{},27,743,"{'cx': 1573, 'rz': 1256, 'sx': 370, 'x': 43, 'measure': 26, 'barrier': 1}",127,783,"{'cx': 1495, 'rz': 1318, 'sx': 474, 'x': 46, 'measure': 26, 'barrier': 1}",36.4263786758895
0,qpeexact,32,95,"{'cp': 496, 'h': 62, 'measure': 31, 'swap': 15, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1046,"{'cx': 2663, 'rz': 1765, 'sx': 498, 'x': 68, 'measure': 31, 'barrier': 1}",37.22528123497832
0,qpeexact,46,137,"{'cp': 1035, 'h': 90, 'measure': 45, 'swap': 22, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1991,"{'cx': 5441, 'rz': 3610, 'sx': 1126, 'x': 151, 'measure': 45, 'barrier': 1}",39.16086291853501
0,twolocalrandom,36,146,"{'cx': 1890, 'ry': 144, 'measure': 36, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1238,"{'cx': 5754, 'rz': 2168, 'sx': 1417, 'x': 110, 'measure': 36, 'barrier': 1}",39.49918789101987
0,qft,36,73,"{'cp': 630, 'h': 36, 'measure': 36, 'swap': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1039,"{'cx': 3047, 'rz': 2053, 'sx': 516, 'x': 86, 'measure': 36, 'barrier': 1}",40.01984789764838
0,su2random,12,50,"{'cx': 198, 'u3': 48, 'measure': 12, 'barrier': 1}",-1,-1,{},16,406,"{'cx': 673, 'rz': 247, 'sx': 197, 'measure': 12, 'x': 2, 'barrier': 1}",27,366,"{'cx': 635, 'rz': 179, 'sx': 152, 'measure': 12, 'x': 5, 'barrier': 1}",127,295,"{'cx': 505, 'rz': 318, 'sx': 236, 'x': 15, 'measure': 12, 'barrier': 1}",41.07754036025543
0,qft,33,67,"{'cp': 528, 'h': 33, 'measure': 33, 'swap': 16, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,960,"{'cx': 2544, 'rz': 1731, 'sx': 493, 'x': 84, 'measure': 33, 'barrier': 1}",41.92127601922935
0,qpeexact,36,107,"{'cp': 630, 'h': 70, 'measure': 35, 'swap': 17, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1362,"{'cx': 3164, 'rz': 2393, 'sx': 787, 'x': 103, 'measure': 35, 'barrier': 1}",42.234499197515625
0,qft,23,47,"{'cp': 253, 'h': 23, 'measure': 23, 'swap': 11, 'barrier': 1}",-1,-1,{},-1,-1,{},27,542,"{'cx': 1235, 'rz': 936, 'sx': 287, 'x': 42, 'measure': 23, 'barrier': 1}",127,518,"{'rz': 1213, 'cx': 1046, 'sx': 557, 'x': 53, 'measure': 23, 'barrier': 1}",42.834288774353595
0,realamprandom,30,122,"{'cx': 1305, 'ry': 120, 'measure': 30, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,903,"{'cx': 3503, 'rz': 2488, 'sx': 1564, 'x': 149, 'measure': 30, 'barrier': 1}",43.2988348020057
0,qpeexact,10,25,"{'cp': 43, 'h': 18, 'measure': 9, 'swap': 4, 'x': 1, 'barrier': 1}",-1,-1,{},16,215,"{'cx': 212, 'rz': 169, 'sx': 44, 'measure': 9, 'x': 7, 'barrier': 1}",27,204,"{'cx': 198, 'rz': 172, 'sx': 48, 'measure': 9, 'x': 8, 'barrier': 1}",127,210,"{'cx': 207, 'rz': 173, 'sx': 49, 'measure': 9, 'x': 8, 'barrier': 1}",43.45668396143075
0,qft,6,13,"{'cp': 15, 'h': 6, 'measure': 6, 'swap': 3, 'barrier': 1}",7,77,"{'cx': 62, 'rz': 55, 'sx': 14, 'measure': 6, 'x': 2, 'barrier': 1}",16,77,"{'cx': 62, 'rz': 55, 'sx': 14, 'measure': 6, 'x': 2, 'barrier': 1}",27,77,"{'cx': 62, 'rz': 55, 'sx': 14, 'measure': 6, 'x': 2, 'barrier': 1}",127,77,"{'cx': 62, 'rz': 55, 'sx': 14, 'measure': 6, 'x': 2, 'barrier': 1}",47.76160061765132
0,random,18,161,"{'cx': 196, 'u2': 106, 'cu1': 67, 'h': 56, 'u1': 50, 'u3': 38, 'ry': 26, 'rx': 21, 'measure': 18, 'cu3': 14, 'rzz': 14, 'rz': 13, 's': 12, 'tdg': 12, 't': 12, 'ccx': 11, 'cry': 10, 'swap': 10, 'ch': 9, 'cz': 8, 'sx': 7, 'crz': 7, 'x': 7, 'crx': 7, 'cp': 6, 'cy': 6, 'cswap': 5, 'u': 4, 'p': 4, 'rxx': 3, 'sxdg': 2, 'y': 2, 'z': 2, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1174,"{'cx': 2076, 'rz': 1303, 'sx': 630, 'x': 54, 'measure': 18, 'barrier': 1}",127,1135,"{'cx': 1954, 'rz': 1354, 'sx': 668, 'x': 45, 'measure': 18, 'barrier': 1}",47.78657161987899
0,dj,48,50,"{'h': 48, 'u2': 47, 'cx': 47, 'measure': 47, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,228,"{'cx': 196, 'rz': 180, 'sx': 100, 'measure': 47, 'x': 6, 'barrier': 1}",50.15028712957526
0,realamprandom,46,186,"{'cx': 3105, 'ry': 184, 'measure': 46, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,2410,"{'cx': 10301, 'rz': 4537, 'sx': 2776, 'x': 312, 'measure': 46, 'barrier': 1}",50.829500348674664
0,ghz,28,29,"{'measure': 28, 'cx': 27, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,31,"{'measure': 28, 'cx': 27, 'rz': 2, 'sx': 1, 'barrier': 1}",51.02377057709762
0,qpeexact,35,104,"{'cp': 595, 'h': 68, 'measure': 34, 'swap': 17, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1192,"{'cx': 2855, 'rz': 2400, 'sx': 888, 'x': 63, 'measure': 34, 'barrier': 1}",51.08163175108402
0,qft,42,85,"{'cp': 861, 'h': 42, 'measure': 42, 'swap': 21, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1321,"{'cx': 4089, 'rz': 3428, 'sx': 1326, 'x': 165, 'measure': 42, 'barrier': 1}",51.431926962125054
0,qftentangled,42,87,"{'cp': 861, 'h': 43, 'measure': 42, 'cx': 41, 'swap': 21, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1460,"{'cx': 4079, 'rz': 2920, 'sx': 955, 'x': 140, 'measure': 42, 'barrier': 1}",54.80769671651116
0,twolocalrandom,46,186,"{'cx': 3105, 'ry': 184, 'measure': 46, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1820,"{'cx': 9463, 'rz': 3115, 'sx': 1994, 'x': 159, 'measure': 46, 'barrier': 1}",55.95136527313196
0,su2random,43,174,"{'cx': 2709, 'u3': 172, 'measure': 43, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,1437,"{'cx': 8183, 'rz': 2834, 'sx': 1764, 'x': 198, 'measure': 43, 'barrier': 1}",56.48661848776115
0,realamprandom,28,114,"{'cx': 1134, 'ry': 112, 'measure': 28, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,904,"{'cx': 3391, 'rz': 1376, 'sx': 912, 'x': 77, 'measure': 28, 'barrier': 1}",57.07245492270613
0,qpeinexact,5,14,"{'cp': 10, 'h': 8, 'measure': 4, 'swap': 2, 'x': 1, 'barrier': 1}",7,71,"{'rz': 42, 'cx': 39, 'sx': 11, 'measure': 4, 'x': 1, 'barrier': 1}",16,69,"{'rz': 51, 'cx': 35, 'sx': 18, 'measure': 4, 'x': 2, 'barrier': 1}",27,65,"{'rz': 44, 'cx': 39, 'sx': 11, 'measure': 4, 'x': 1, 'barrier': 1}",127,65,"{'rz': 42, 'cx': 39, 'sx': 11, 'measure': 4, 'x': 3, 'barrier': 1}",57.39047905890075
0,qftentangled,14,31,"{'cp': 91, 'h': 15, 'measure': 14, 'cx': 13, 'swap': 7, 'barrier': 1}",-1,-1,{},16,317,"{'cx': 452, 'rz': 401, 'sx': 155, 'x': 22, 'measure': 14, 'barrier': 1}",27,351,"{'cx': 473, 'rz': 361, 'sx': 121, 'x': 23, 'measure': 14, 'barrier': 1}",127,332,"{'cx': 458, 'rz': 402, 'sx': 155, 'x': 21, 'measure': 14, 'barrier': 1}",59.163002009036056
0,ae,23,132,"{'cp': 231, 'cx': 44, 'u': 23, 'measure': 23, 'u2': 22, 'u3': 22, 'h': 22, 'barrier': 1}",-1,-1,{},-1,-1,{},27,840,"{'cx': 1094, 'rz': 1041, 'sx': 391, 'x': 25, 'measure': 23, 'barrier': 1}",127,799,"{'cx': 1156, 'rz': 937, 'sx': 296, 'x': 31, 'measure': 23, 'barrier': 1}",59.19280006162741
1,realamprandom,22,90,"{'cx': 693, 'ry': 88, 'measure': 22, 'barrier': 1}",-1,-1,{},-1,-1,{},27,547,"{'cx': 1958, 'rz': 980, 'sx': 664, 'x': 55, 'measure': 22, 'barrier': 1}",127,527,"{'cx': 1600, 'rz': 1218, 'sx': 828, 'x': 86, 'measure': 22, 'barrier': 1}",62.641735949658255
1,random,28,337,"{'cx': 511, 'u2': 254, 'cu1': 178, 'u1': 146, 'h': 121, 'u3': 99, 'ry': 76, 'rx': 55, 'tdg': 29, 'ccx': 29, 'measure': 28, 'cu3': 27, 'rzz': 25, 'cy': 24, 't': 23, 's': 23, 'ch': 22, 'rz': 21, 'cry': 20, 'crz': 20, 'x': 20, 'cswap': 20, 'cp': 19, 'crx': 17, 'cz': 15, 'swap': 14, 'sx': 13, 'rxx': 13, 'sxdg': 9, 'p': 7, 'z': 6, 'y': 5, 'sdg': 3, 'u': 3, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,2922,"{'cx': 6727, 'rz': 3477, 'sx': 1646, 'x': 167, 'measure': 28, 'barrier': 1}",62.981372084381924
1,qftentangled,7,17,"{'cp': 21, 'h': 8, 'measure': 7, 'cx': 6, 'swap': 3, 'barrier': 1}",7,124,"{'cx': 103, 'rz': 79, 'sx': 24, 'measure': 7, 'x': 6, 'barrier': 1}",16,127,"{'cx': 114, 'rz': 81, 'sx': 20, 'measure': 7, 'x': 5, 'barrier': 1}",27,129,"{'cx': 108, 'rz': 77, 'sx': 20, 'measure': 7, 'x': 4, 'barrier': 1}",127,128,"{'cx': 114, 'rz': 80, 'sx': 20, 'measure': 7, 'x': 5, 'barrier': 1}",66.32014271089548
1,qnn,26,255,"{'cx': 1325, 'p': 650, 'u2': 52, 'ry': 52, 'measure': 26, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1175,"{'cx': 2715, 'rz': 2179, 'sx': 968, 'x': 193, 'measure': 26, 'barrier': 1}",127,785,"{'cx': 2649, 'rz': 2015, 'sx': 961, 'x': 98, 'measure': 26, 'barrier': 1}",66.7801639942474
1,ghz,31,32,"{'measure': 31, 'cx': 30, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},-1,-1,{},127,34,"{'measure': 31, 'cx': 30, 'rz': 2, 'sx': 1, 'barrier': 1}",67.44357024071938
1,qnn,11,105,"{'cx': 230, 'p': 110, 'u2': 22, 'ry': 22, 'measure': 11, 'barrier': 1}",-1,-1,{},16,361,"{'cx': 461, 'rz': 335, 'sx': 155, 'x': 21, 'measure': 11, 'barrier': 1}",27,388,"{'cx': 449, 'rz': 355, 'sx': 163, 'x': 23, 'measure': 11, 'barrier': 1}",127,373,"{'cx': 468, 'rz': 355, 'sx': 162, 'x': 26, 'measure': 11, 'barrier': 1}",68.6616902147515
1,qnn,18,175,"{'cx': 629, 'p': 306, 'u2': 36, 'ry': 36, 'measure': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},27,668,"{'cx': 1222, 'rz': 951, 'sx': 418, 'x': 80, 'measure': 18, 'barrier': 1}",127,651,"{'cx': 1289, 'rz': 874, 'sx': 361, 'x': 69, 'measure': 18, 'barrier': 1}",69.05916174125007
