subset,algorithm,original_width,original_depth,original_gates,ibmq7_width,ibmq7_depth,ibmq7_gates,ibmq16_width,ibmq16_depth,ibmq16_gates,ibmq27_width,ibmq27_depth,ibmq27_gates,ibmq127_width,ibmq127_depth,ibmq127_gates,distance_to_avg
1,qft,14,29,"{'cp': 91, 'h': 14, 'measure': 14, 'swap': 7, 'barrier': 1}",-1,-1,{},16,281,"{'cx': 441, 'rz': 378, 'sx': 126, 'x': 18, 'measure': 14, 'barrier': 1}",27,328,"{'cx': 455, 'rz': 361, 'sx': 110, 'x': 20, 'measure': 14, 'barrier': 1}",127,299,"{'cx': 449, 'rz': 328, 'sx': 86, 'x': 20, 'measure': 14, 'barrier': 1}",31.82971464019850
1,qpeinexact,10,29,"{'cp': 45, 'h': 18, 'measure': 9, 'swap': 4, 'x': 1, 'barrier': 1}",-1,-1,{},16,243,"{'cx': 230, 'rz': 169, 'sx': 36, 'measure': 9, 'x': 6, 'barrier': 1}",27,243,"{'cx': 207, 'rz': 192, 'sx': 63, 'x': 13, 'measure': 9, 'barrier': 1}",127,248,"{'cx': 225, 'rz': 171, 'sx': 40, 'measure': 9, 'x': 7, 'barrier': 1}",31.82971464019850
1,dj,26,28,"{'h': 26, 'u2': 25, 'cx': 25, 'measure': 25, 'barrier': 1}",-1,-1,{},-1,-1,{},27,110,"{'rz': 102, 'cx': 72, 'sx': 55, 'measure': 25, 'x': 4, 'barrier': 1}",127,110,"{'rz': 95, 'cx': 76, 'sx': 53, 'measure': 25, 'x': 3, 'barrier': 1}",32.82971464019850
1,dj,23,25,"{'u2': 23, 'h': 22, 'cx': 22, 'measure': 22, 'barrier': 1}",-1,-1,{},-1,-1,{},27,103,"{'rz': 86, 'cx': 78, 'sx': 47, 'measure': 22, 'x': 7, 'barrier': 1}",127,93,"{'rz': 86, 'cx': 62, 'sx': 49, 'measure': 22, 'x': 4, 'barrier': 1}",35.82971464019850
1,ghz,22,23,"{'measure': 22, 'cx': 21, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,63,"{'cx': 40, 'rz': 24, 'measure': 22, 'sx': 17, 'barrier': 1}",127,25,"{'measure': 22, 'cx': 21, 'rz': 2, 'sx': 1, 'barrier': 1}",37.82971464019850
1,realamprandom,5,22,"{'cx': 30, 'ry': 20, 'measure': 5, 'barrier': 1}",7,84,"{'cx': 60, 'rz': 50, 'sx': 44, 'measure': 5, 'x': 2, 'barrier': 1}",16,86,"{'cx': 60, 'rz': 49, 'sx': 47, 'measure': 5, 'barrier': 1}",27,86,"{'cx': 60, 'rz': 44, 'sx': 40, 'measure': 5, 'barrier': 1}",127,85,"{'cx': 60, 'rz': 52, 'sx': 45, 'measure': 5, 'x': 2, 'barrier': 1}",38.82971464019850
1,dj,19,21,"{'u2': 21, 'cx': 18, 'measure': 18, 'h': 16, 'barrier': 1}",-1,-1,{},-1,-1,{},27,64,"{'rz': 65, 'cx': 42, 'sx': 38, 'measure': 18, 'x': 1, 'barrier': 1}",127,69,"{'rz': 70, 'sx': 41, 'cx': 40, 'measure': 18, 'x': 3, 'barrier': 1}",39.82971464019850
1,qftentangled,9,21,"{'cp': 36, 'h': 10, 'measure': 9, 'cx': 8, 'swap': 4, 'barrier': 1}",-1,-1,{},16,187,"{'cx': 196, 'rz': 124, 'sx': 26, 'measure': 9, 'x': 4, 'barrier': 1}",27,186,"{'cx': 176, 'rz': 147, 'sx': 50, 'x': 10, 'measure': 9, 'barrier': 1}",127,179,"{'cx': 175, 'rz': 151, 'sx': 54, 'x': 10, 'measure': 9, 'barrier': 1}",39.82971464019850
1,ae,18,102,"{'cp': 136, 'cx': 34, 'u': 18, 'measure': 18, 'u2': 17, 'u3': 17, 'h': 17, 'barrier': 1}",-1,-1,{},-1,-1,{},27,606,"{'cx': 676, 'rz': 629, 'sx': 230, 'x': 27, 'measure': 18, 'barrier': 1}",127,564,"{'cx': 648, 'rz': 638, 'sx': 233, 'x': 22, 'measure': 18, 'barrier': 1}",41.17028535980150
1,qftentangled,5,13,"{'cp': 10, 'h': 6, 'measure': 5, 'cx': 4, 'swap': 2, 'barrier': 1}",7,75,"{'cx': 49, 'rz': 39, 'sx': 10, 'measure': 5, 'x': 2, 'barrier': 1}",16,75,"{'cx': 49, 'rz': 39, 'sx': 10, 'measure': 5, 'x': 2, 'barrier': 1}",27,75,"{'cx': 49, 'rz': 39, 'sx': 10, 'measure': 5, 'x': 2, 'barrier': 1}",127,75,"{'cx': 49, 'rz': 39, 'sx': 10, 'measure': 5, 'x': 2, 'barrier': 1}",47.82971464019850
1,ghz,11,12,"{'measure': 11, 'cx': 10, 'h': 1, 'barrier': 1}",-1,-1,{},16,14,"{'measure': 11, 'cx': 10, 'rz': 2, 'sx': 1, 'barrier': 1}",27,14,"{'measure': 11, 'cx': 10, 'rz': 2, 'sx': 1, 'barrier': 1}",127,14,"{'measure': 11, 'cx': 10, 'rz': 2, 'sx': 1, 'barrier': 1}",48.82971464019850
1,qnn,13,125,"{'cx': 324, 'p': 156, 'u2': 26, 'ry': 26, 'measure': 13, 'barrier': 1}",-1,-1,{},16,458,"{'cx': 667, 'rz': 437, 'sx': 181, 'x': 30, 'measure': 13, 'barrier': 1}",27,404,"{'cx': 662, 'rz': 456, 'sx': 202, 'x': 29, 'measure': 13, 'barrier': 1}",127,463,"{'cx': 651, 'rz': 486, 'sx': 210, 'x': 40, 'measure': 13, 'barrier': 1}",64.17028535980150
1,ae,26,150,"{'cp': 300, 'cx': 50, 'u': 26, 'measure': 26, 'u2': 25, 'u3': 25, 'h': 25, 'barrier': 1}",-1,-1,{},-1,-1,{},27,946,"{'cx': 1468, 'rz': 1183, 'sx': 356, 'x': 36, 'measure': 26, 'barrier': 1}",127,965,"{'cx': 1426, 'rz': 1272, 'sx': 413, 'x': 40, 'measure': 26, 'barrier': 1}",89.17028535980150
1,random,18,161,"{'cx': 196, 'u2': 106, 'cu1': 67, 'h': 56, 'u1': 50, 'u3': 38, 'ry': 26, 'rx': 21, 'measure': 18, 'cu3': 14, 'rzz': 14, 'rz': 13, 's': 12, 'tdg': 12, 't': 12, 'ccx': 11, 'cry': 10, 'swap': 10, 'ch': 9, 'cz': 8, 'sx': 7, 'crz': 7, 'x': 7, 'crx': 7, 'cp': 6, 'cy': 6, 'cswap': 5, 'u': 4, 'p': 4, 'rxx': 3, 'sxdg': 2, 'y': 2, 'z': 2, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1174,"{'cx': 2076, 'rz': 1303, 'sx': 630, 'x': 54, 'measure': 18, 'barrier': 1}",127,1135,"{'cx': 1954, 'rz': 1354, 'sx': 668, 'x': 45, 'measure': 18, 'barrier': 1}",100.17028535980100
1,random,16,168,"{'cx': 144, 'cu1': 82, 'u2': 60, 'h': 37, 'u1': 37, 'u3': 33, 'rx': 28, 'ry': 20, 'measure': 16, 'cu3': 14, 'ccx': 13, 'rzz': 11, 'cy': 10, 'sx': 8, 'crz': 8, 'crx': 7, 'ch': 7, 'swap': 6, 's': 5, 'tdg': 5, 'cry': 5, 't': 5, 'cp': 5, 'rz': 5, 'cswap': 5, 'p': 4, 'x': 4, 'u': 4, 'cz': 3, 'sdg': 2, 'rxx': 2, 'z': 2, 'sxdg': 1, 'barrier': 1}",-1,-1,{},16,1091,"{'cx': 1524, 'rz': 1189, 'sx': 563, 'x': 44, 'measure': 16, 'barrier': 1}",27,1038,"{'cx': 1530, 'rz': 1181, 'sx': 553, 'x': 47, 'measure': 16, 'barrier': 1}",127,1028,"{'cx': 1597, 'rz': 1166, 'sx': 534, 'x': 51, 'measure': 16, 'barrier': 1}",107.17028535980100
1,qnn,26,255,"{'cx': 1325, 'p': 650, 'u2': 52, 'ry': 52, 'measure': 26, 'barrier': 1}",-1,-1,{},-1,-1,{},27,1175,"{'cx': 2715, 'rz': 2179, 'sx': 968, 'x': 193, 'measure': 26, 'barrier': 1}",127,785,"{'cx': 2649, 'rz': 2015, 'sx': 961, 'x': 98, 'measure': 26, 'barrier': 1}",194.17028535980100
2,qpeexact,20,59,"{'cp': 190, 'h': 38, 'measure': 19, 'swap': 9, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,690,"{'cx': 1048, 'rz': 734, 'sx': 195, 'x': 28, 'measure': 19, 'barrier': 1}",127,686,"{'cx': 1038, 'rz': 813, 'sx': 244, 'x': 39, 'measure': 19, 'barrier': 1}",1.8297146401985100
2,qpeexact,23,64,"{'cp': 251, 'h': 44, 'measure': 22, 'swap': 11, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,647,"{'cx': 1402, 'rz': 889, 'sx': 201, 'x': 22, 'measure': 22, 'barrier': 1}",127,637,"{'cx': 1380, 'rz': 983, 'sx': 292, 'x': 28, 'measure': 22, 'barrier': 1}",3.1702853598014900
2,twolocalrandom,16,66,"{'cx': 360, 'ry': 64, 'measure': 16, 'barrier': 1}",-1,-1,{},16,540,"{'cx': 1174, 'rz': 376, 'sx': 274, 'measure': 16, 'x': 11, 'barrier': 1}",27,748,"{'cx': 1299, 'rz': 522, 'sx': 375, 'x': 30, 'measure': 16, 'barrier': 1}",127,324,"{'cx': 996, 'sx': 128, 'rz': 128, 'measure': 16, 'barrier': 1}",5.17028535980149
2,su2random,16,66,"{'cx': 360, 'u3': 64, 'measure': 16, 'barrier': 1}",-1,-1,{},16,595,"{'cx': 1166, 'rz': 479, 'sx': 344, 'measure': 16, 'x': 9, 'barrier': 1}",27,616,"{'cx': 1167, 'rz': 424, 'sx': 321, 'measure': 16, 'x': 15, 'barrier': 1}",127,451,"{'cx': 1036, 'rz': 393, 'sx': 283, 'measure': 16, 'x': 12, 'barrier': 1}",5.17028535980149
2,qft,27,55,"{'cp': 351, 'h': 27, 'measure': 27, 'swap': 13, 'barrier': 1}",-1,-1,{},-1,-1,{},27,731,"{'cx': 1686, 'rz': 1229, 'sx': 337, 'x': 49, 'measure': 27, 'barrier': 1}",127,641,"{'cx': 1638, 'rz': 1290, 'sx': 403, 'x': 51, 'measure': 27, 'barrier': 1}",5.82971464019851
2,qpeinexact,18,53,"{'cp': 153, 'h': 34, 'measure': 17, 'swap': 8, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,521,"{'cx': 839, 'rz': 599, 'sx': 144, 'x': 24, 'measure': 17, 'barrier': 1}",127,593,"{'cx': 832, 'rz': 659, 'sx': 207, 'x': 31, 'measure': 17, 'barrier': 1}",7.82971464019851
2,qft,25,51,"{'cp': 300, 'h': 25, 'measure': 25, 'swap': 12, 'barrier': 1}",-1,-1,{},-1,-1,{},27,740,"{'cx': 1469, 'rz': 1129, 'sx': 343, 'x': 61, 'measure': 25, 'barrier': 1}",127,449,"{'cx': 1401, 'rz': 1071, 'sx': 309, 'x': 26, 'measure': 25, 'barrier': 1}",9.82971464019851
2,ae,13,72,"{'cp': 66, 'cx': 24, 'u': 13, 'measure': 13, 'u2': 12, 'u3': 12, 'h': 12, 'barrier': 1}",-1,-1,{},16,368,"{'rz': 346, 'cx': 288, 'sx': 147, 'measure': 13, 'x': 12, 'barrier': 1}",27,365,"{'rz': 346, 'cx': 300, 'sx': 146, 'measure': 13, 'x': 10, 'barrier': 1}",127,351,"{'rz': 378, 'cx': 275, 'sx': 167, 'measure': 13, 'x': 11, 'barrier': 1}",11.17028535980150
2,realamprandom,18,74,"{'cx': 459, 'ry': 72, 'measure': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},27,454,"{'cx': 1165, 'rz': 640, 'sx': 460, 'x': 27, 'measure': 18, 'barrier': 1}",127,448,"{'cx': 1174, 'rz': 651, 'sx': 440, 'x': 40, 'measure': 18, 'barrier': 1}",13.17028535980150
2,twolocalrandom,18,74,"{'cx': 459, 'ry': 72, 'measure': 18, 'barrier': 1}",-1,-1,{},-1,-1,{},27,414,"{'cx': 1060, 'rz': 708, 'sx': 486, 'x': 39, 'measure': 18, 'barrier': 1}",127,643,"{'cx': 1429, 'rz': 521, 'sx': 377, 'x': 26, 'measure': 18, 'barrier': 1}",13.17028535980150
2,qpeexact,16,47,"{'cp': 120, 'h': 30, 'measure': 15, 'swap': 7, 'x': 1, 'barrier': 1}",-1,-1,{},16,481,"{'cx': 628, 'rz': 491, 'sx': 158, 'measure': 15, 'x': 12, 'barrier': 1}",27,496,"{'cx': 661, 'rz': 511, 'sx': 168, 'x': 19, 'measure': 15, 'barrier': 1}",127,457,"{'cx': 614, 'rz': 476, 'sx': 126, 'x': 17, 'measure': 15, 'barrier': 1}",13.82971464019850
2,qnn,5,45,"{'cx': 44, 'p': 20, 'u2': 10, 'ry': 10, 'measure': 5, 'barrier': 1}",7,120,"{'rz': 83, 'cx': 71, 'sx': 46, 'measure': 5, 'x': 3, 'barrier': 1}",16,120,"{'rz': 83, 'cx': 71, 'sx': 46, 'measure': 5, 'x': 3, 'barrier': 1}",27,120,"{'rz': 84, 'cx': 71, 'sx': 46, 'measure': 5, 'x': 3, 'barrier': 1}",127,123,"{'rz': 83, 'cx': 73, 'sx': 46, 'measure': 5, 'x': 3, 'barrier': 1}",15.82971464019850
2,qpeinexact,27,80,"{'cp': 351, 'h': 52, 'measure': 26, 'swap': 13, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,920,"{'cx': 1853, 'rz': 1293, 'sx': 343, 'x': 49, 'measure': 26, 'barrier': 1}",127,938,"{'cx': 2032, 'rz': 1194, 'sx': 267, 'x': 41, 'measure': 26, 'barrier': 1}",19.17028535980150
2,qftentangled,19,41,"{'cp': 171, 'h': 20, 'measure': 19, 'cx': 18, 'swap': 9, 'barrier': 1}",-1,-1,{},-1,-1,{},27,362,"{'cx': 933, 'rz': 530, 'sx': 28, 'measure': 19, 'x': 2, 'barrier': 1}",127,369,"{'cx': 903, 'rz': 604, 'sx': 92, 'measure': 19, 'x': 16, 'barrier': 1}",19.82971464019850
2,qft,18,37,"{'cp': 153, 'h': 18, 'measure': 18, 'swap': 9, 'barrier': 1}",-1,-1,{},-1,-1,{},27,362,"{'cx': 728, 'rz': 642, 'sx': 232, 'x': 29, 'measure': 18, 'barrier': 1}",127,459,"{'cx': 789, 'rz': 618, 'sx': 190, 'x': 34, 'measure': 18, 'barrier': 1}",23.82971464019850
2,realamprandom,21,86,"{'cx': 630, 'ry': 84, 'measure': 21, 'barrier': 1}",-1,-1,{},-1,-1,{},27,567,"{'cx': 1470, 'rz': 1191, 'sx': 799, 'x': 74, 'measure': 21, 'barrier': 1}",127,728,"{'cx': 2049, 'rz': 668, 'sx': 459, 'x': 48, 'measure': 21, 'barrier': 1}",25.17028535980150
2,twolocalrandom,22,90,"{'cx': 693, 'ry': 88, 'measure': 22, 'barrier': 1}",-1,-1,{},-1,-1,{},27,526,"{'cx': 1880, 'rz': 751, 'sx': 515, 'x': 32, 'measure': 22, 'barrier': 1}",127,481,"{'cx': 2069, 'rz': 347, 'sx': 277, 'measure': 22, 'x': 13, 'barrier': 1}",29.17028535980150
2,ae,16,90,"{'cp': 105, 'cx': 30, 'u': 16, 'measure': 16, 'u2': 15, 'u3': 15, 'h': 15, 'barrier': 1}",-1,-1,{},16,488,"{'rz': 533, 'cx': 483, 'sx': 210, 'measure': 16, 'x': 15, 'barrier': 1}",27,496,"{'cx': 498, 'rz': 487, 'sx': 172, 'measure': 16, 'x': 14, 'barrier': 1}",127,504,"{'rz': 481, 'cx': 471, 'sx': 171, 'x': 20, 'measure': 16, 'barrier': 1}",29.17028535980150
2,qft,14,29,"{'cp': 91, 'h': 14, 'measure': 14, 'swap': 7, 'barrier': 1}",-1,-1,{},16,281,"{'cx': 441, 'rz': 378, 'sx': 126, 'x': 18, 'measure': 14, 'barrier': 1}",27,328,"{'cx': 455, 'rz': 361, 'sx': 110, 'x': 20, 'measure': 14, 'barrier': 1}",127,299,"{'cx': 449, 'rz': 328, 'sx': 86, 'x': 20, 'measure': 14, 'barrier': 1}",31.82971464019850
2,dj,26,28,"{'h': 26, 'u2': 25, 'cx': 25, 'measure': 25, 'barrier': 1}",-1,-1,{},-1,-1,{},27,110,"{'rz': 102, 'cx': 72, 'sx': 55, 'measure': 25, 'x': 4, 'barrier': 1}",127,110,"{'rz': 95, 'cx': 76, 'sx': 53, 'measure': 25, 'x': 3, 'barrier': 1}",32.82971464019850
2,realamprandom,23,94,"{'cx': 759, 'ry': 92, 'measure': 23, 'barrier': 1}",-1,-1,{},-1,-1,{},27,753,"{'cx': 2225, 'rz': 836, 'sx': 588, 'x': 39, 'measure': 23, 'barrier': 1}",127,541,"{'cx': 1982, 'rz': 538, 'sx': 389, 'x': 23, 'measure': 23, 'barrier': 1}",33.17028535980150
2,twolocalrandom,23,94,"{'cx': 759, 'ry': 92, 'measure': 23, 'barrier': 1}",-1,-1,{},-1,-1,{},27,696,"{'cx': 2339, 'rz': 644, 'sx': 451, 'x': 31, 'measure': 23, 'barrier': 1}",127,871,"{'cx': 2584, 'rz': 594, 'sx': 454, 'x': 31, 'measure': 23, 'barrier': 1}",33.17028535980150
2,ghz,23,24,"{'measure': 23, 'cx': 22, 'h': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,73,"{'cx': 50, 'rz': 24, 'measure': 23, 'sx': 17, 'x': 1, 'barrier': 1}",127,26,"{'measure': 23, 'cx': 22, 'rz': 2, 'sx': 1, 'barrier': 1}",36.82971464019850
2,su2random,24,98,"{'cx': 828, 'u3': 96, 'measure': 24, 'barrier': 1}",-1,-1,{},-1,-1,{},27,989,"{'cx': 2686, 'rz': 839, 'sx': 616, 'x': 39, 'measure': 24, 'barrier': 1}",127,1087,"{'cx': 2618, 'rz': 1313, 'sx': 874, 'x': 54, 'measure': 24, 'barrier': 1}",37.17028535980150
2,qpeinexact,7,20,"{'cp': 21, 'h': 12, 'measure': 6, 'swap': 3, 'x': 1, 'barrier': 1}",7,130,"{'cx': 103, 'rz': 78, 'sx': 16, 'measure': 6, 'x': 2, 'barrier': 1}",16,131,"{'rz': 95, 'cx': 89, 'sx': 29, 'measure': 6, 'x': 5, 'barrier': 1}",27,131,"{'rz': 93, 'cx': 89, 'sx': 29, 'x': 6, 'measure': 6, 'barrier': 1}",127,131,"{'rz': 95, 'cx': 89, 'sx': 29, 'measure': 6, 'x': 5, 'barrier': 1}",40.82971464019850
2,twolocalrandom,3,14,"{'ry': 12, 'cx': 9, 'measure': 3, 'barrier': 1}",7,42,"{'rz': 28, 'sx': 25, 'cx': 17, 'measure': 3, 'x': 1, 'barrier': 1}",16,42,"{'sx': 27, 'rz': 27, 'cx': 17, 'measure': 3, 'x': 1, 'barrier': 1}",27,44,"{'sx': 24, 'rz': 24, 'cx': 19, 'measure': 3, 'barrier': 1}",127,38,"{'sx': 24, 'rz': 24, 'cx': 17, 'measure': 3, 'barrier': 1}",46.82971464019850
3,twolocalrandom,15,62,"{'cx': 315, 'ry': 60, 'measure': 15, 'barrier': 1}",-1,-1,{},16,447,"{'cx': 989, 'rz': 333, 'sx': 249, 'measure': 15, 'x': 4, 'barrier': 1}",27,458,"{'cx': 1029, 'rz': 264, 'sx': 203, 'x': 18, 'measure': 15, 'barrier': 1}",127,372,"{'cx': 988, 'rz': 191, 'sx': 163, 'measure': 15, 'x': 5, 'barrier': 1}",1.1702853598014900
3,qpeinexact,21,62,"{'cp': 210, 'h': 40, 'measure': 20, 'swap': 10, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,746,"{'cx': 1141, 'rz': 923, 'sx': 323, 'x': 28, 'measure': 20, 'barrier': 1}",127,764,"{'cx': 1212, 'rz': 763, 'sx': 174, 'x': 28, 'measure': 20, 'barrier': 1}",1.1702853598014900
3,qpeinexact,20,59,"{'cp': 190, 'h': 38, 'measure': 19, 'swap': 9, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,650,"{'cx': 1046, 'rz': 783, 'sx': 227, 'x': 36, 'measure': 19, 'barrier': 1}",127,662,"{'cx': 1078, 'rz': 752, 'sx': 190, 'x': 27, 'measure': 19, 'barrier': 1}",1.8297146401985100
3,qpeexact,23,64,"{'cp': 251, 'h': 44, 'measure': 22, 'swap': 11, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,647,"{'cx': 1402, 'rz': 889, 'sx': 201, 'x': 22, 'measure': 22, 'barrier': 1}",127,637,"{'cx': 1380, 'rz': 983, 'sx': 292, 'x': 28, 'measure': 22, 'barrier': 1}",3.1702853598014900
3,qpeinexact,18,53,"{'cp': 153, 'h': 34, 'measure': 17, 'swap': 8, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,521,"{'cx': 839, 'rz': 599, 'sx': 144, 'x': 24, 'measure': 17, 'barrier': 1}",127,593,"{'cx': 832, 'rz': 659, 'sx': 207, 'x': 31, 'measure': 17, 'barrier': 1}",7.82971464019851
3,qpeinexact,17,50,"{'cp': 136, 'h': 32, 'measure': 16, 'swap': 8, 'x': 1, 'barrier': 1}",-1,-1,{},-1,-1,{},27,566,"{'cx': 742, 'rz': 518, 'sx': 123, 'x': 17, 'measure': 16, 'barrier': 1}",127,556,"{'cx': 740, 'rz': 596, 'sx': 185, 'x': 26, 'measure': 16, 'barrier': 1}",10.82971464019850
3,twolocalrandom,11,46,"{'cx': 165, 'ry': 44, 'measure': 11, 'barrier': 1}",-1,-1,{},16,406,"{'cx': 572, 'rz': 177, 'sx': 142, 'measure': 11, 'x': 4, 'barrier': 1}",27,257,"{'cx': 419, 'rz': 237, 'sx': 174, 'x': 13, 'measure': 11, 'barrier': 1}",127,241,"{'cx': 402, 'rz': 221, 'sx': 163, 'measure': 11, 'x': 10, 'barrier': 1}",14.82971464019850
3,ae,8,42,"{'cp': 21, 'cx': 14, 'u': 8, 'measure': 8, 'u2': 7, 'u3': 7, 'h': 7, 'barrier': 1}",-1,-1,{},16,168,"{'rz': 141, 'cx': 91, 'sx': 70, 'measure': 8, 'x': 5, 'barrier': 1}",27,178,"{'rz': 134, 'cx': 97, 'sx': 67, 'measure': 8, 'x': 3, 'barrier': 1}",127,169,"{'rz': 127, 'cx': 98, 'sx': 59, 'measure': 8, 'x': 5, 'barrier': 1}",18.82971464019850
3,qft,18,37,"{'cp': 153, 'h': 18, 'measure': 18, 'swap': 9, 'barrier': 1}",-1,-1,{},-1,-1,{},27,362,"{'cx': 728, 'rz': 642, 'sx': 232, 'x': 29, 'measure': 18, 'barrier': 1}",127,459,"{'cx': 789, 'rz': 618, 'sx': 190, 'x': 34, 'measure': 18, 'barrier': 1}",23.82971464019850
3,ae,7,36,"{'cp': 15, 'cx': 12, 'u': 7, 'measure': 7, 'u2': 6, 'u3': 6, 'h': 6, 'barrier': 1}",7,128,"{'rz': 96, 'cx': 69, 'sx': 48, 'measure': 7, 'x': 3, 'barrier': 1}",16,147,"{'rz': 94, 'cx': 74, 'sx': 46, 'measure': 7, 'x': 2, 'barrier': 1}",27,147,"{'rz': 94, 'cx': 74, 'sx': 46, 'measure': 7, 'x': 2, 'barrier': 1}",127,140,"{'rz': 91, 'cx': 72, 'sx': 41, 'measure': 7, 'x': 2, 'barrier': 1}",24.82971464019850
